source	What to Plant Around Fruit Trees | Garden Guides	http://www.gardenguides.com/83423-plant-around-fruit-trees.html
source	Carrots Love Tomatoes	www.motherearthnews.com/organic-gardening/carrots-love-tomatoes-companion-planting-for-a-healthy-garden-zb0z11zBug.aspx
source	Compatible Plants with Onion & Garlic | Home Guides | SF Gate	http://homeguides.sfgate.com/compatible-plants-onions-garlic-22804.html
tag	fruit tree	Apple
tag	Beans	Bean	Broadbean	Pea	Soybean
ref	page	name	scientific	companion_type	companion_name	companion_scientific	companion_effect	companion_info
1			Allium	help	fruit tree		repel	Fruit Tree Borer
1		Tansy		help	fruit tree		repel	ants, Fly, moth, other harmful Insects
1		Nasturtiums		help	fruit tree		repel	Codling Moth
1		Marigold		help	fruit tree		improve	pest_resistance
1		Marigold		help	fruit tree		repel	Worm
1		Spring bulbs		help	fruit tree		attract	Bee
1		Marjoram		help	fruit tree		attract	Bee
1		Lemon balm		help	fruit tree		attract	Bee
1		Borage		help	fruit tree		attract	Bee
2	1	Asparagus		help eachother	Parsley		improve	vigor
2	1	Asparagus		help eachother	Basil			
2	1	Basil		help	Tomato			
2	1	Tomato		help	Asparagus		repel	Asparagus Beetle
2	1	Asparagus		help	Tomato		repel	Nematodes
2	2	Carrot		help	Bean			
2	2	Cauliflower		help	Bean			
2	2		Beta vulgaris	help	Bean			
2	2	Cucumber		help	Bean			
2	2	Brassicas		help	Bean			
2	2	Marigold		help	Bean		repel	Mexican Bean Beetle
2	2	Summer savory		help	Bean		improve	growth, flavor
2	2	Summer savory		help	Bean		repel	Bean Beetle
2	2		Allium	inhibit	Bean			
2	2	Bean		dislike	Gladiolus			
2	2	Carrot		help	Broadbean			
2	2	Cauliflower		help	Broadbean			
2	2		Beta vulgaris	help	Broadbean			
2	2	Cucumber		help	Broadbean			
2	2	Brassicas		help	Broadbean			
2	2	Marigold		help	Broadbean		repel	Mexican Bean Beetle
2	2	Summer savory		help	Broadbean		improve	growth, flavor
2	2	Summer savory		help	Broadbean		repel	Bean Beetle
2	2		Allium	inhibit	Broadbean			
2	2	Broadbean		dislike	Gladiolus			
2	2	Corn		help	Broadbean			
2	2	Bean		help	Potato		repel	Colorado Bug
2	2	Potato		help	Bean		repel	Mexican Bean Beetle
2	2	Bean, bush		help eachother	Cucumber			
2	2	Bean, bush		help eachother	Strawberry			
2	2	Bean		help	Corn			
2	2	Bean, Pole		dislike	Kohlrabi			
2	2	Bean, Pole		dislike	Sunflower			
2	2	Bean, Pole		inhibit		Beta vulgaris		
2	2	Bean, Pole		help eachother	Radish			
2	2	Bea balm		help	Tomato		improve	growth, flavor
2	2	Bean bush		help		Beta vulgaris		
2	2		Allium	help		Beta vulgaris		
2	2	Kohlrabi		help		Beta vulgaris		
2	2	Field mustard		inhibit		Beta vulgaris		
2	2	Charlock		inhibit		Beta vulgaris		
