source	Cornell - Companion planting	http://cceniagaracounty.org/wp-content/uploads/2014/02/companion-planting-info.pdf
tag	Aromatic herbs	Dill	Basil	Thyme	Rosemary	Summer savory	Catnip	Sage	Hyssop	Lovage	Mint	Coriander	Anise	Tarragon	Lemon balm
tag	Aromatic herbs except Dill	Basil	Thyme	Rosemary	Summer savory	Catnip	Sage	Hyssop	Lovage	Mint	Coriander	Anise	Tarragon	Lemon balm
tag	Beans	Bean	Broadbean	Pea	Soybean
page	name	scientific	companion_type	companion_name	companion_scientific	companion_effect	companion_info
1	Asparagus		like eachother	Tomato			
1	Asparagus		like eachother	Parsley			
1	Bean		like	Carrot			
1	Bean		like	Cauliflower			
1	Bean		like		Beta vulgaris		
1	Bean		help	Cucumber			
1	Bean		help	Cabbage			
1	Summer savory		help	Bean		improve	growth, flavor
1	Summer savory		help	Bean		repel	Bean Beetle
1	Bean		dislike		Allium		
1	Bean		dislike	Gladiolas			
1		Beta vulgaris	like	bush bean			
1		Beta vulgaris	like	Onion			
1		Beta vulgaris	like	Kohlrabi			
1		Beta vulgaris	dislike	pole bean			
1	Lettuce		help		Beta vulgaris		
1	Brassicas		help		Beta vulgaris		
1	Brassicas		like	Aromatic herbs			
1	Brassicas		dislike	Tomato			
1	Brassicas		dislike	Pole bean			
1	Brassicas		dislike	Strawberry			
1	Carrot		like		Allium	repel	Carrot Fly
1	Corn		like	Potato			
1	Corn		like	Beans			
1	Corn		like	Cucumber			
1	Corn		like	Pumpkin			
1	Corn		like	Squash			
1	Melon		like	Corn			
1	Squash		like	Corn			
1	Pumpkin		like	Corn			
1	Cucumber		like	Corn			
1	Cucumber		help	Corn		repel	Racoon
1	Radish		help	Cucumber		repel	Cucumber Beetle
2	Cucumber		dislike eachother	Potato			
2	Cucumber		dislike	Aromatic herbs except Dill			
2	Lettuce		like	Strawberry			
2	Lettuce		like	Cucumber			
2	Lettuce		like	Carrot			
2	Radish		like	Lettuce			
2	Onion		like eachother	Brassicas			
2	Onion		like		Beta vulgaris		
2	Onion		like	Strawberry			
2	Onion		like	Tomato			
2	Onion		like	Lettuce			
2	Onion		like	Summer savory			
2	Onion		like	Chamomile			
2	Onion		dislike	Beans			
2	Ornamental onion		help	Rose			
2	Bell pepper		like eachother	Basil			
2	Squash		like	White radish		repel	Insects
2	Nasturtiums		help	Squash		repel	Squash Bug
2	Tomato		dislike eachother	Brassicas			
2	Tomato		dislike	Potato			
2	Tomato		dislike	Fennel			
2	Tomato		like	Chive			
2	Tomato		like	Onion			
2	Tomato		like	Parsley			
2	Tomato		like	Marigold			
2	Tomato		like	Nasturtiums			
2	Tomato		like	Carrot			
2	Garlic		help	Tomato		repel	Red Spider
2	Tomato		help	Rose		repel	blackspot
3	Geranium		help	Corn		repel	Corn Earworm
3	Geranium		help	Brassicas		repel	Cabbage Worm
3	Geranium		help	Grape		repel	Japanese Beetle
3	Geranium		help	Rose		repel	Japanese Beetle
3	Geranium		help	Hop		repel	Japanese Beetle
3	Borage		help	Tomato		repel	Tomato Hornworm
3	Pot Marigold		help	Tomato		repel	Tomato Hornworm
#conflict: 3	Dill		help	Tomato		repel	Tomato Hornworm
3	Thyme		help	Tomato		repel	Tomato Hornworm
3	Basil		help	Asparagus		repel	Asparagus Beetle
3	Pot Marigold		help	Asparagus		repel	Asparagus Beetle
3	Nasturtiums		help	Asparagus		repel	Asparagus Beetle
3	Parsley		help	Asparagus		repel	Asparagus Beetle
3	Tansy		help	Asparagus		repel	Asparagus Beetle
3	Tomato		help	Asparagus		repel	Asparagus Beetle
4	Anise		help	Coriander			
4	Basil		help	Bell pepper			
4	Basil		help	Tomato			
4	Bee balm		help	Tomato			
4	Borage		help	Bean			
4	Borage		help	Strawberry			
4	Borage		help	Tomato			
4	Borage		help	Squash			
4	Chamomile		help	Brassicas			
4	Chamomile		help	Cucumber			
4	Chamomile		help	Most herbs			
4	Chamomile		help	Melon			
4	Chamomile		help	Onion			
4	Chervil		help	Radish			
4	Chive		help	Carrot			
4	Chive		help	Grape			
4	Chive		help	Rose			
4	Chive		help	Tomato			
4	Coriander		help	Anise			
4	Dandelion		help	fruit tree			
4	Dead nettle		help	Potato			
4	Dill		help	Brassicas			
4	Dill		help	Lettuce			
4	Dill		help	Onion			
4	Dill, Immature		help	Tomato			
4	Garlic		help	Rose			
4	Garlic		help		Beta vulgaris		
4	Garlic		help	Brassicas			
4	Horseradish		help	Potato			
4	Hyssop		help	Cabbage			
4	Hyssop		help	Grape			
4	Larkspur		help	Bean			
4	Larkspur		help	Cabbage			
4	Lovage		help	Bean			
4	Marigold		help	Potato			
4	Marigold		help	Rose			
4	Marigold		help	Tomato			
4	Mint		help	Cabbage			
