source	Golden Harvest Organics	http://www.ghorganics.com/page2.html													
tag	Mustard plants	White mustard	Mustard greens	Black mustard												
tag	Beans family	Bean	Broadbean	Pea	Soybean											
tag	Fruit trees	Apple														
tag	Aromatic herbs	Dill	Basil	Thyme	Rosemary	Summer savory	Catnip	Sage	Hyssop	Lovage	Mint	Coriander	Anise	Tarragon	Lemon balm
name	scientific	companion_type	companion_name	companion_scientific	companion_effect	companion_info										
#ALFALFA: Perennial that roots deeply. Fixes the soil with nitrogen, accumulates iron, magnesium, phosphorous and potassium. Withstands droughts with it's long taproot and can improve just about any soil! Alfalfa has the ability to break up hard clay soil and can even send its' roots through rocks! Now that is a tenacious plant! Alfalfa is practically pest and disease free. It needs only natural rainfall to survive.																
#AMARANTH: A tropical annual that needs hot conditions to flourish. Good with sweet corn, it's leaves provide shade giving the corm a rich, moist root run. Host to predatory ground Beetles. Eat the young leaves in salads.																
#ANISE: Licorice flavored herb, good host for predatory wasps which prey on Aphids and it is also said to repel aphids. Deters pests from brassicas by camouflaging their odor. Improves the vigor of any plants growing near it. Used in ointments to protect against Bug stings and bites. Good to plant with coriander.																
Anise		help	Brassicas		improve	pest_resistance										
Anise		like	Coriander													
#ARTEMISIAS: See Wormwood																
#ASPARAGUS: Friends: Aster family flowers, dill ,coriander, carrots, tomato, parsley, basil, comfrey and marigolds. Avoid: Onions, garlic and potato.																
Asparagus		like eachother		Asteraceae												
Asparagus		like eachother	Dill													
Asparagus		like eachother	Coriander													
Asparagus		like eachother	Carrot													
Asparagus		like eachother	Tomato													
Asparagus		like eachother	Parsley													
Asparagus		like eachother	Basil													
Asparagus		like eachother	Comfrey													
Asparagus		like eachother	Marigold													
Asparagus		dislike eachother		Allium												
Asparagus		dislike eachother	Potato													
#BASIL: Plant with tomato to improve growth and flavor. Basil also does well with peppers, oregano, asparagus and petunias. Basil can be helpful in repelling thrips. It is said to repel Fly and Mosquitoes. Do not plant near rue or sage.																
Basil		help	Tomato		improve	growth, flavor										
Basil		like eachother		Capsicum annuum												
Basil		like eachother	Oregano													
Basil		like eachother	Asparagus													
Basil		like eachother	Petunia													
Basil		dislike	Rue													
Basil		dislike	Sage													
#BAY LEAF: A fresh leaf bay leaf in each storage container of beans or grains will deter weevils and moth. Sprinkle dried leaves with other deterrent herbs in garden as natural insecticide dust. A good combo: Bay leaves, cayenne pepper, tansy and peppermint. For ladyBug invasions try spreading bay leaves around in your house anywhere they are getting in and congregating. They should leave.																
#BEANS: All bean enrich the soil with nitrogen fixed form the air, improving the conditions for whatever crop you plant after the beans are finished. In general they are good company for carrots, celery, chards, corn, eggplant, peas, potato, brassicas, Beets, radish, strawberry and cucumbers. Beans are great for heavy nitrogen users like corn and grain plants because the nitrogen used up by the corn and grains are replaced at the end of the season when the bean plants die back. French Haricot beans, sweet corn and melons are a good combo. Summer savory deters Bean Beetle and improves growth and flavor. Keep beans away from the alliums. Growing tip: Do not allow beans to mature on the plant, or it will stop producing, and do not pick beans or cultivate when they are wet, or it will spread viral diseases. 																
Bean		help	Carrot													
Bean		help	Celery													
Bean		help	Chard													
Bean		help	Corn													
Bean		help	Eggplant													
Bean		help	Pea													
Bean		help	Potato													
Bean		help	Brassicas													
Bean		help		Beta vulgaris												
Bean		help	Radish													
